시군구코드,시군구명,행정구역별(1),2022년08월_총인구수,2022년08월_세대수,2022년08월_세대당 인구,2022년08월_남자 인구수,2022년08월_여자 인구수,2022년09월_총인구수,2022년09월_세대수,2022년09월_세대당 인구,2022년09월_남자 인구수,2022년09월_여자 인구수,관광/여가/오락,부동산,생활서비스,소매,숙박,스포츠,음식,학문/교육,기타음식업,닭/오리요리,별식/퓨전요리,부페,분식,양식,유흥주점,음식배달서비스,일식/수산물,제과제빵떡케익,중식,커피점/카페,패스트푸드,한식,centroid_dist,매매호수21,매매면적(천㎡),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),pol_q3,surv,gmean,target
11410,서대문구,서울특별시,306253.0,146054.0,2.1,145948.0,160305.0,305149.0,145285.0,2.1,145374.0,159775.0,231,441,1895,2548,84,134,3856,717,25.0,187.0,80.0,9.0,341.0,240.0,347.0,2.0,211.0,196.0,108.0,705.0,226.0,1179.0,1487.632004554198,1675,120,10049,8968,1081,1660,4562,3918,3827,3390,0.0093333333333333,31.22088920254058,5.714356057808308,1.0
11440,마포구,서울특별시,367190.0,181463.0,2.02,172317.0,194873.0,365266.0,180085.0,2.03,171345.0,193921.0,369,774,3688,3583,156,207,7884,1081,21.0,228.0,157.0,18.0,427.0,535.0,784.0,3.0,513.0,344.0,195.0,1637.0,279.0,2743.0,719.4956671717157,1702,127,11413,11975,-562,2473,4655,5227,4285,4275,0.0173333333333333,29.462549583884268,11.300541723518366,2.0
11470,양천구,서울특별시,443847.0,182220.0,2.44,217268.0,226579.0,442145.0,181353.0,2.44,216359.0,225786.0,341,529,2700,3374,23,194,3639,1609,13.0,210.0,77.0,16.0,357.0,112.0,364.0,2.0,256.0,204.0,104.0,601.0,239.0,1084.0,1672.494776934404,2061,157,10364,11486,-1122,2778,4445,4434,3141,4274,0.016,35.59743954480797,6.455256298870546,2.0
11500,강서구,서울특별시,572230.0,274551.0,2.08,274771.0,297459.0,570368.0,273691.0,2.08,273820.0,296548.0,533,1014,4025,4428,96,314,6475,1357,31.0,328.0,134.0,19.0,519.0,347.0,619.0,1.0,490.0,296.0,208.0,1134.0,322.0,2027.0,1352.8199511874766,3182,218,16381,17570,-1189,4846,5614,5111,5921,7613,0.0153333333333333,30.99921321793863,7.6523867809057515,2.0
11530,구로구,서울특별시,394246.0,182464.0,2.16,193935.0,200311.0,393181.0,181950.0,2.16,193323.0,199858.0,328,625,2923,4009,105,177,4329,1010,17.0,280.0,105.0,16.0,391.0,109.0,580.0,3.0,235.0,172.0,247.0,585.0,219.0,1370.0,900.6648125813037,2820,183,9600,10487,-887,2058,3487,3515,4055,4914,0.0143333333333333,37.06070287539936,6.839352085532054,2.0
11545,금천구,서울특별시,231356.0,119913.0,1.93,116653.0,114703.0,230504.0,119587.0,1.93,116209.0,114295.0,225,623,2399,3209,61,127,3078,555,11.0,178.0,82.0,14.0,267.0,98.0,343.0,1.0,172.0,118.0,135.0,489.0,130.0,1040.0,660.8340239477984,1250,87,7063,7351,-288,1758,2285,2123,3020,3470,0.0156666666666666,33.163680781758956,6.394210019587662,2.0
11560,영등포구,서울특별시,377295.0,189541.0,1.99,185754.0,191541.0,376216.0,188768.0,1.99,185099.0,191117.0,401,846,3275,4592,149,235,5526,795,24.0,215.0,125.0,33.0,400.0,259.0,593.0,3.0,391.0,201.0,292.0,969.0,253.0,1768.0,620.5367255705703,2078,149,13695,12724,971,2697,6026,5289,4972,4738,0.0183333333333333,27.948031339879005,7.552290406222992,2.0
11590,동작구,서울특별시,385379.0,187962.0,2.05,186268.0,199111.0,383637.0,186966.0,2.05,185490.0,198147.0,266,530,2098,2547,35,135,3282,998,13.0,196.0,78.0,11.0,315.0,123.0,316.0,,233.0,186.0,94.0,590.0,188.0,939.0,986.5730235704063,1748,132,12570,13450,-880,2507,4935,5920,5128,5023,0.015,36.582914572864325,6.293772180521969,2.0
11620,관악구,서울특별시,487629.0,283092.0,1.72,245176.0,242453.0,486787.0,282806.0,1.72,244810.0,241977.0,448,754,2839,3240,78,212,4654,1015,12.0,252.0,100.0,12.0,417.0,259.0,589.0,3.0,330.0,180.0,123.0,720.0,225.0,1432.0,696.3701084814192,1604,110,21477,20023,1454,5110,6515,7074,9852,7839,0.0163333333333333,28.297575218991998,8.145299145299147,2.0
11650,서초구,서울특별시,406565.0,169217.0,2.4,194249.0,212316.0,405076.0,168175.0,2.41,193548.0,211528.0,558,1470,4702,6043,68,412,6118,1699,23.0,213.0,141.0,17.0,520.0,407.0,452.0,5.0,449.0,260.0,183.0,1205.0,277.0,1966.0,576.7376387811224,2527,234,12508,13110,-602,2996,5461,5790,4051,4324,0.0176666666666666,33.03297891511984,6.135220937827533,2.0
11680,강남구,서울특별시,532500.0,235409.0,2.26,254730.0,277770.0,530103.0,233687.0,2.27,253628.0,276475.0,797,2611,8265,8528,148,702,11874,2586,49.0,340.0,224.0,47.0,751.0,1288.0,924.0,11.0,993.0,485.0,335.0,2191.0,548.0,3688.0,415.70595228473707,3602,299,18105,17487,618,4590,6968,6855,6547,6042,0.016,28.74571441293023,7.183564231738034,2.0
11710,송파구,서울특별시,662599.0,286514.0,2.31,319164.0,343435.0,660211.0,285175.0,2.32,317972.0,342239.0,666,1191,4511,5726,68,407,7339,1755,25.0,315.0,142.0,26.0,583.0,362.0,565.0,8.0,572.0,341.0,196.0,1243.0,386.0,2575.0,910.8409764449036,2396,194,18510,19235,-725,5563,6420,6115,6527,7557,0.0173333333333333,30.159654082820552,7.312448708152926,2.0
11740,강동구,서울특별시,462109.0,203320.0,2.27,226311.0,235798.0,460617.0,202325.0,2.28,225532.0,235085.0,409,849,3261,3535,68,243,4728,1341,7.0,270.0,97.0,25.0,439.0,153.0,493.0,4.0,352.0,254.0,117.0,764.0,272.0,1481.0,788.8847894840615,2082,143,12544,12303,241,4113,4367,3310,4064,4880,0.0123333333333333,32.55168935955623,6.222514487690601,2.0
